    0.661413735151290894E+02   -0.633039999008178644E+00    0.948890220820903796E+00    0.864379563331604039E+00    0.344923719763755798E+00   -0.295163237528735678E+02
    0.644270655512809753E+02   -0.628794908523559570E+00    0.934966087043285432E+00    0.101745332717895520E+01    0.338552251458168030E+00   -0.266766520330693737E+02
    0.702305888418641047E+02   -0.888257437627157032E+00    0.923965738879993226E+00    0.749199674347756472E+00    0.353007305231484769E+00   -0.252265261671847227E+02
    0.607303419682606034E+02   -0.721915805780371511E+00    0.937472485229899344E+00    0.972554105334971775E+00    0.272611190037609141E+00   -0.251118401417106512E+02
    0.644857360172828322E+02   -0.136465306637816797E+01    0.938622327381061883E+00    0.904509878080394292E+00    0.271707512651092387E+00   -0.245471080706141223E+02
    0.616570080172471151E+02   -0.935919077073079420E+00    0.948927246111960887E+00    0.979798016310789111E+00    0.267080390837990178E+00   -0.244016624362500565E+02
    0.629596807469439312E+02   -0.132096965941828759E+01    0.992984493105119381E+00    0.814044362385378362E+00    0.270473091749825867E+00   -0.243343565413638885E+02
    0.748104991842636480E+02   -0.639733410996004559E+00    0.931369044301265325E+00    0.691915502111387526E+00    0.344850258775065643E+00   -0.241054856317974320E+02
    0.610274061944925990E+02   -0.129009233704675785E+01    0.981331242128384962E+00    0.917020566098247225E+00    0.308103723985822808E+00   -0.240506644320082899E+02
    0.608993881102769095E+02   -0.123784570344779477E+01    0.944090151822769119E+00    0.940302709139753445E+00    0.290919877937411364E+00   -0.235770676089630840E+02
    0.742920213239931257E+02   -0.721974395777825295E+00    0.940768144107112958E+00    0.677339325808570369E+00    0.349090713073889447E+00   -0.235296920696597383E+02
    0.607204625060206666E+02   -0.913215189658746818E+00    0.948667515677583228E+00    0.988585823422757803E+00    0.278518414267523051E+00   -0.235193572650037837E+02
    0.615978375077247620E+02   -0.105203790664672847E+01    0.985474577248096506E+00    0.918063392639160147E+00    0.280433073639869690E+00   -0.235186634051251211E+02
    0.616114730471990484E+02   -0.127631136245068921E+01    0.966125096706789810E+00    0.860505398779047304E+00    0.311907219644907030E+00   -0.235148831699589422E+02
    0.622406017011093482E+02   -0.111061192808445619E+01    0.975799487051456249E+00    0.851767251725447982E+00    0.323026912947761535E+00   -0.233736433432556154E+02
    0.616342458128929138E+02   -0.107617201805114737E+01    0.992142611443996403E+00    0.757798447608947767E+00    0.363612599670886993E+00   -0.233137537034746565E+02
