    0.667890331149101257E+02   -0.133073940277099600E+01    0.921440073549747551E+00    0.102790550231933597E+01    0.260436683893203735E+00   -0.154594189821804893E+02   -0.599146350544150419E+01    1
    0.648827236890792847E+02   -0.136138882637023917E+01    0.920829388201236720E+00    0.640292229652404843E+00    0.250682927668094635E+00   -0.136343206668430685E+02   -0.599396350544151169E+01    1
    0.615875878930091858E+02   -0.137387471199035627E+01    0.927794968783855478E+00    0.978265085220336950E+00    0.258731193840503693E+00   -0.122907697578984294E+02   -0.599646350544151474E+01    1
    0.627088513970375061E+02   -0.613117599487304710E+00    0.991132978796958941E+00    0.643089666366577162E+00    0.251522041857242584E+00   -0.110896638570719155E+02   -0.599896350544151957E+01    1
    0.621316695213317871E+02   -0.611973810195922785E+00    0.990808695256710004E+00    0.100224348545074471E+01    0.370659604668617249E+00   -0.109214740545219975E+02   -0.600146350544151552E+01    1
    0.707004028558731079E+02   -0.126610488891601558E+01    0.920725144147872987E+00    0.935704960823059095E+00    0.259217396378517151E+00   -0.863295641729683894E+01   -0.600396350544151858E+01    1
    0.659298330545425415E+02   -0.129592747688293453E+01    0.933492275774478908E+00    0.100681718826293953E+01    0.343344479799270630E+00   -0.653756095378027435E+01   -0.600646350544151630E+01    1
    0.628519088029861450E+02   -0.664931869506835915E+00    0.923787596523761745E+00    0.917976703643798908E+00    0.274118289351463318E+00   -0.633939198512186053E+01   -0.600896350544152469E+01    1
    0.722193297743797302E+02   -0.122478547096252433E+01    0.930864631831646028E+00    0.101111663818359387E+01    0.346712149679660797E+00   -0.621438037898030959E+01   -0.601146350544151886E+01    1
    0.720012965798377991E+02   -0.122467880249023420E+01    0.985642631053924578E+00    0.981643452644348158E+00    0.277348749339580536E+00   -0.539742657292295558E+01   -0.601396350544150859E+01    1
    0.649188780784606934E+02   -0.122313523292541504E+01    0.988286810815334316E+00    0.661851277351379386E+00    0.278961166739463806E+00   -0.530875307949581732E+01   -0.601646350544151520E+01    1
    0.611096030473709106E+02   -0.122976493835449219E+01    0.984380696415901202E+00    0.102423612117767338E+01    0.345717936754226685E+00   -0.511025793274848628E+01   -0.601896350544151559E+01    1
