Nested Sampling Global Log-Evidence           :   -0.420247889522171114E+01  +/-    0.512457601220530565E-01
Nested Importance Sampling Global Log-Evidence:   -0.473337307455896816E+01  +/-    0.237285665956184916E-01

Dim No.       Mean        Sigma
   1    0.669651061387215805E+02    0.404371116570352207E+01
   2   -0.890157558774887558E+00    0.213423304029072669E+00
   3    0.957732337349979312E+00    0.209211654426808419E-01
   4    0.802668081169810699E+00    0.118764532146969970E+00
   5    0.315228643004181186E+00    0.323699852690350412E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.645874772698309556E+02
   2   -0.624197887232211701E+00
   3    0.994284451773652433E+00
   4    0.715255288009541634E+00
   5    0.336361899729412495E+00

MAP Parameters
Dim No.        Parameter
   1    0.628353892775578657E+02
   2   -0.125193757016179452E+01
   3    0.983804077573909752E+00
   4    0.917622417026757731E+00
   5    0.271480438093730292E+00
